Gene_ID	Pfam_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_000752	A0A0N0YCZ7_THEVU/5-132	93.8	128	8	0	5	132	1	128	4.2e-62	242.7	A0A0N0YCZ7_THEVU/5-132 A0A0N0YCZ7.1 PF00410.18;Ribosomal_S8;
fake_2M_genome_000753	A0A0N0YD88_THEVU/9-60	90.4	52	5	0	9	60	1	52	4.8e-21	105.1	A0A0N0YD88_THEVU/9-60 A0A0N0YD88.1 PF00253.20;Ribosomal_S14;
fake_2M_genome_000754	F5L9L6_9BACI/85-178	90.4	94	9	0	85	178	1	94	2.9e-42	177.2	F5L9L6_9BACI/85-178 F5L9L6.1 PF00673.20;Ribosomal_L5_C;
fake_2M_genome_000755	A0A094JHV5_9BACL/47-115	100	69	0	0	47	115	1	69	2.6e-31	140.2	A0A094JHV5_9BACL/47-115 A0A094JHV5.1 PF17136.3;ribosomal_L24;
fake_2M_genome_000756	A0A0N0HGH0_THEVU/1-122	94.3	122	7	0	1	122	1	122	9.8e-58	228	A0A0N0HGH0_THEVU/1-122 A0A0N0HGH0.1 PF00238.18;Ribosomal_L14;
fake_2M_genome_000757	A0A094JK09_9BACL/13-80	100	68	0	0	13	80	1	68	9.6e-31	137.9	A0A094JK09_9BACL/13-80 A0A094JK09.1 PF00366.19;Ribosomal_S17;
fake_2M_genome_000758	A0A0N0HGH5_THEVU/4-60	91.2	57	5	0	4	60	1	57	6.7e-19	98.2	A0A0N0HGH5_THEVU/4-60 A0A0N0HGH5.1 PF00831.22;Ribosomal_L29;
fake_2M_genome_000759	A0A0N0YCU3_THEVU/4-132	92.2	129	10	0	4	132	1	129	2.8e-64	250	A0A0N0YCU3_THEVU/4-132 A0A0N0YCU3.1 PF00252.17;Ribosomal_L16;
fake_2M_genome_000760	A0A094LXA1_9BACL/119-201	100	83	0	0	119	201	1	83	6.9e-38	162.9	A0A094LXA1_9BACL/119-201 A0A094LXA1.1 PF00189.19;Ribosomal_S3_C;
fake_2M_genome_000761	A0A094JL46_9BACL/5-108	100	104	0	0	5	108	1	104	2e-49	200.3	A0A094JL46_9BACL/5-108 A0A094JL46.1 PF00237.18;Ribosomal_L22;
fake_2M_genome_000762	A0A0N0YER5_THEVU/3-83	88.9	81	9	0	3	83	1	81	1.9e-37	160.2	A0A0N0YER5_THEVU/3-83 A0A0N0YER5.1 PF00203.20;Ribosomal_S19;
fake_2M_genome_000763	A0A094JIX8_9BACL/125-251	100	127	0	0	125	251	1	127	3.1e-67	260.8	A0A094JIX8_9BACL/125-251 A0A094JIX8.1 PF03947.17;Ribosomal_L2_C;
fake_2M_genome_000764	A0A094JPA9_9BACL/6-92	100	87	0	0	6	92	1	87	2.7e-39	166.4	A0A094JPA9_9BACL/6-92 A0A094JPA9.1 PF00276.19;Ribosomal_L23;
fake_2M_genome_000765	A0A094LX98_9BACL/17-205	100	189	0	0	17	205	1	189	1.9e-98	364	A0A094LX98_9BACL/17-205 A0A094LX98.1 PF00573.21;Ribosomal_L4;
fake_2M_genome_000766	A0A0N0YCW5_THEVU/57-198	84.3	140	22	0	67	206	1	140	1.3e-62	245	A0A0N0YCW5_THEVU/57-198 A0A0N0YCW5.1 PF00297.21;Ribosomal_L3;
fake_2M_genome_000767	W4QUN9_BACA3/7-101	93.7	95	6	0	7	101	1	95	9.7e-43	177.9	W4QUN9_BACA3/7-101 W4QUN9.1 PF00338.21;Ribosomal_S10;
fake_2M_genome_000768	A0A094JPA6_9BACL/20-179	99.4	160	1	0	49	208	1	160	5.2e-86	322.8	A0A094JPA6_9BACL/20-179 A0A094JPA6.1 PF01202.21;SKI;
fake_2M_genome_000769	A0A094LX95_9BACL/23-249	99.1	227	2	0	23	249	1	227	1.4e-125	454.5	A0A094LX95_9BACL/23-249 A0A094LX95.1 PF01487.14;DHquinase_I;
fake_2M_genome_000770	K4C8Q1_SOLLC/79-345	69.6	286	68	2	10	295	1	267	7.7e-104	382.9	K4C8Q1_SOLLC/79-345 K4C8Q1.1 PF00009.26;GTP_EFTU;
fake_2M_genome_000771	A0A094K597_9BACL/8-280	100	273	0	0	8	280	1	273	5.4e-153	547	A0A094K597_9BACL/8-280 A0A094K597.1 PF00009.26;GTP_EFTU;
fake_2M_genome_000772	A0A0N0YER3_THEVU/1-149	97.3	149	4	0	1	149	1	149	1e-75	288.1	A0A0N0YER3_THEVU/1-149 A0A0N0YER3.1 PF00177.20;Ribosomal_S7;
fake_2M_genome_000773	A0A094JPA2_9BACL/12-136	100	125	0	0	12	136	1	125	1.6e-64	250.8	A0A094JPA2_9BACL/12-136 A0A094JPA2.1 PF00164.24;Ribosom_S12_S23;
fake_2M_genome_000774	A0A094LX91_9BACL/2-84	100	83	0	0	2	84	1	83	1.7e-37	160.2	A0A094LX91_9BACL/2-84 A0A094LX91.1 PF01248.25;Ribosomal_L7Ae;
fake_2M_genome_000775	A0A094JL37_9BACL/770-1130	100	361	0	0	770	1130	1	361	3.5e-200	704.5	A0A094JL37_9BACL/770-1130 A0A094JL37.1 PF04998.16;RNA_pol_Rpb1_5;
fake_2M_genome_000776	A0A094K592_9BACL/27-456	100	430	0	0	27	456	1	430	9.5e-243	845.9	A0A094K592_9BACL/27-456 A0A094K592.1 PF04563.14;RNA_pol_Rpb2_1;
fake_2M_genome_000777	A0A094JIW2_9BACL/27-196	100	170	0	0	27	196	1	170	1.3e-88	331.3	A0A094JIW2_9BACL/27-196 A0A094JIW2.1 PF05175.13;MTS;
fake_2M_genome_000778	A0A094JP98_9BACL/55-121	100	67	0	0	55	121	1	67	4.4e-26	122.9	A0A094JP98_9BACL/55-121 A0A094JP98.1 PF00542.18;Ribosomal_L12;
fake_2M_genome_000779	A0A094LX89_9BACL/3-101	100	99	0	0	3	101	1	99	9e-46	188.7	A0A094LX89_9BACL/3-101 A0A094LX89.1 PF00466.19;Ribosomal_L10;
fake_2M_genome_000780	A0A094JL24_9BACL/29-220	100	192	0	0	29	220	1	192	3e-100	370.2	A0A094JL24_9BACL/29-220 A0A094JL24.1 PF00687.20;Ribosomal_L1;
fake_2M_genome_000781	A0A094K584_9BACL/79-147	100	69	0	0	138	206	1	69	1.6e-28	131.7	A0A094K584_9BACL/79-147 A0A094K584.1 PF00298.18;Ribosomal_L11;
fake_2M_genome_000782	A0A0N1K5L9_THEVU/3-110	94.2	104	6	0	1	104	5	108	3.6e-50	203.4	A0A0N1K5L9_THEVU/3-110 A0A0N1K5L9.1 PF02357.18;NusG;
fake_2M_genome_000783	A0A094JP80_9BACL/19-72	98.1	54	1	0	19	72	1	54	7.1e-11	71.6	A0A094JP80_9BACL/19-72 A0A094JP80.1 PF00584.19;SecE;
fake_2M_genome_000784	A0A094LX78_9BACL/3-49	100	47	0	0	3	49	1	47	1.5e-20	103.2	A0A094LX78_9BACL/3-49 A0A094LX78.1 PF00471.19;Ribosomal_L33;
fake_2M_genome_000785	A0A060LWG7_9BACI/41-111	91.5	71	6	0	42	112	1	71	4.5e-29	133.7	A0A060LWG7_9BACI/41-111 A0A060LWG7.1 PF04542.13;Sigma70_r2;
fake_2M_genome_000786	A0A094K556_9BACL/8-171	100	164	0	0	8	171	1	164	4.6e-85	319.3	A0A094K556_9BACL/8-171 A0A094K556.1 PF05991.10;NYN_YacP;
fake_2M_genome_000787	A0A094JIR3_9BACL/95-236	100	142	0	0	95	236	1	142	3.3e-73	280.4	A0A094JIR3_9BACL/95-236 A0A094JIR3.1 PF00588.18;SpoU_methylase;
fake_2M_genome_000788	A0A094JP65_9BACL/15-114	100	100	0	0	22	121	1	100	1.4e-47	194.5	A0A094JP65_9BACL/15-114 A0A094JP65.1 PF00636.25;Ribonuclease_3;
fake_2M_genome_000789	A0A094LX55_9BACL/14-313	100	300	0	0	14	313	1	300	3.6e-177	626.7	A0A094LX55_9BACL/14-313 A0A094LX55.1 PF01406.18;tRNA-synt_1e;
fake_2M_genome_000790	N1ZF41_9CLOT/60-104	88.9	45	5	0	147	191	1	45	4.3e-15	87.8	N1ZF41_9CLOT/60-104 N1ZF41.1 PF00132.23;Hexapep;
fake_2M_genome_000791	A0A094JL01_9BACL/3-322	100	320	0	0	3	322	1	320	1.5e-186	657.9	A0A094JL01_9BACL/3-322 A0A094JL01.1 PF00749.20;tRNA-synt_1c;
fake_2M_genome_000792	A0A094K552_9BACL/2-156	100	155	0	0	2	156	1	155	1.7e-81	307.4	A0A094K552_9BACL/2-156 A0A094K552.1 PF02542.15;YgbB;
fake_2M_genome_000793	A0A094JIQ4_9BACL/3-224	100	222	0	0	3	224	1	222	1.4e-121	441	A0A094JIQ4_9BACL/3-224 A0A094JIQ4.1 PF01128.18;IspD;
fake_2M_genome_000794	A0A096BG14_9CLOT/165-283	82.4	119	21	0	166	284	1	119	8.5e-49	199.9	A0A096BG14_9CLOT/165-283 A0A096BG14.1 PF13638.5;PIN_4;
fake_2M_genome_000795	A0A094LX51_9BACL/2-110	100	109	0	0	2	110	1	109	3.5e-55	219.9	A0A094LX51_9BACL/2-110 A0A094LX51.1 PF02559.15;CarD_CdnL_TRCF;
fake_2M_genome_000796	A0A124IQ17_9FIRM/55-125	45.1	71	39	0	55	125	1	71	3.9e-12	76.6	A0A124IQ17_9FIRM/55-125 A0A124IQ17.1 PF03819.16;MazG;
fake_2M_genome_000797	A0A094K546_9BACL/5-69	100	65	0	0	5	69	1	65	3.5e-27	127.5	A0A094K546_9BACL/5-69 A0A094K546.1 PF01066.20;CDP-OH_P_transf;
fake_2M_genome_000798	A0A094JIP6_9BACL/141-281	100	141	0	0	141	281	1	141	4.7e-68	263.8	A0A094JIP6_9BACL/141-281 A0A094JIP6.1 PF10635.8;DisA-linker;
fake_2M_genome_000799	A0A0N0YCS6_THEVU/72-280	85.2	209	31	0	72	280	1	209	1.9e-98	365.2	A0A0N0YCS6_THEVU/72-280 A0A0N0YCS6.1 PF06745.12;ATPase;
fake_2M_genome_000800	A0A094LX45_9BACL/536-710	100	175	0	0	536	710	1	175	1.5e-93	349.7	A0A094LX45_9BACL/536-710 A0A094LX45.1 PF07724.13;AAA_2;
fake_2M_genome_000801	A0A094JKZ0_9BACL/52-257	100	206	0	0	52	257	1	206	1.9e-109	401.4	A0A094JKZ0_9BACL/52-257 A0A094JKZ0.1 PF00217.18;ATP-gua_Ptrans;
fake_2M_genome_000802	A0A094K540_9BACL/134-169	100	36	0	0	134	169	1	36	3.4e-08	63.9	A0A094K540_9BACL/134-169 A0A094K540.1 PF02151.18;UVR;
fake_2M_genome_000803	A0A094JIN9_9BACL/2-150	99.3	149	1	0	2	150	1	149	1.6e-73	280.8	A0A094JIN9_9BACL/2-150 A0A094JIN9.1 PF05848.10;CtsR;
fake_2M_genome_000804	A0A094JP48_9BACL/17-147	100	131	0	0	17	147	1	131	2e-64	251.1	A0A094JP48_9BACL/17-147 A0A094JP48.1 PF02308.15;MgtC;
fake_2M_genome_000805	A0A094LX40_9BACL/10-193	100	184	0	0	4	187	1	184	1.4e-102	377.9	A0A094LX40_9BACL/10-193 A0A094LX40.1 PF13419.5;HAD_2;
fake_2M_genome_000806	A0A094JKY5_9BACL/80-141	100	62	0	0	102	163	1	62	3.3e-27	127.9	A0A094JKY5_9BACL/80-141 A0A094JKY5.1 PF07730.12;HisKA_3;
fake_2M_genome_000807	A0A094K534_9BACL/7-119	100	113	0	0	7	119	1	113	1.3e-55	221.9	A0A094K534_9BACL/7-119 A0A094K534.1 PF00072.23;Response_reg;
fake_2M_genome_000808	A0A094JIN0_9BACL/33-115	100	83	0	0	33	115	1	83	4.3e-41	173.7	A0A094JIN0_9BACL/33-115 A0A094JIN0.1 PF13115.5;YtkA;
fake_2M_genome_000809	A0A089ILT5_9BACL/99-201	63.1	103	38	0	99	201	1	103	4.8e-28	131	A0A089ILT5_9BACL/99-201 A0A089ILT5.1 PF02163.21;Peptidase_M50;
fake_2M_genome_000811	A0A0N0YEP3_THEVU/411-469	57.9	57	24	0	410	466	1	57	4.1e-09	68.9	A0A0N0YEP3_THEVU/411-469 A0A0N0YEP3.1 PF13432.5;TPR_16;
fake_2M_genome_000812	B9DPK3_STACT/11-267	25.4	173	97	5	79	222	69	238	2.8e-06	58.2	B9DPK3_STACT/11-267 B9DPK3.1 PF00069.24;Pkinase;
fake_2M_genome_000813	A0A0A2TDT3_9BACI/1-137	53	83	39	0	1	83	1	83	2.6e-18	97.1	A0A0A2TDT3_9BACI/1-137 A0A0A2TDT3.1 PF11700.7;ATG22;
fake_2M_genome_000814	F5SI52_9BACL/1-245	73.6	182	48	0	1	182	63	244	3.7e-64	250	F5SI52_9BACL/1-245 F5SI52.1 PF11700.7;ATG22;
fake_2M_genome_000816	A0A0N0YEN6_THEVU/4-505	88.2	502	59	0	4	505	1	502	1.4e-251	874	A0A0N0YEN6_THEVU/4-505 A0A0N0YEN6.1 PF00012.19;HSP70;
fake_2M_genome_000817	A0A094JJZ0_9BACL/28-208	100	181	0	0	28	208	1	181	8.6e-94	348.6	A0A094JJZ0_9BACL/28-208 A0A094JJZ0.1 PF01025.18;GrpE;
fake_2M_genome_000820	A0A094JHT8_9BACL/153-492	99.7	340	1	0	153	492	1	340	3.1e-195	686.8	A0A094JHT8_9BACL/153-492 A0A094JHT8.1 PF00152.19;tRNA-synt_2;
fake_2M_genome_000821	A0A0N0YD50_THEVU/14-327	85	313	47	0	14	326	1	313	6.9e-154	548.9	A0A0N0YD50_THEVU/14-327 A0A0N0YD50.1 PF01207.16;Dus;
fake_2M_genome_000822	A0A094JN72_9BACL/8-136	100	129	0	0	8	136	1	129	8.4e-68	261.9	A0A094JN72_9BACL/8-136 A0A094JN72.1 PF01288.19;HPPK;
fake_2M_genome_000823	A0A094LW64_9BACL/4-115	100	112	0	0	4	115	1	112	1.6e-57	227.3	A0A094LW64_9BACL/4-115 A0A094LW64.1 PF02152.17;FolB;
fake_2M_genome_000824	A0A094JJY7_9BACL/22-255	100	234	0	0	22	255	1	234	5.3e-131	472.6	A0A094JJY7_9BACL/22-255 A0A094JJY7.1 PF00809.21;Pterin_bind;
fake_2M_genome_000825	A0A094K477_9BACL/7-293	100	287	0	0	7	293	1	287	7.2e-158	562	A0A094K477_9BACL/7-293 A0A094K477.1 PF00291.24;PALP;
fake_2M_genome_000826	A0A094JHT3_9BACL/3-277	100	275	0	0	3	277	1	275	6.6e-153	545.4	A0A094JHT3_9BACL/3-277 A0A094JHT3.1 PF01430.18;HSP33;
fake_2M_genome_000827	A0A094JN55_9BACL/1-198	99.5	198	1	0	9	206	1	198	3.7e-107	393.3	A0A094JN55_9BACL/1-198 A0A094JN55.1 PF03309.13;Pan_kinase;
fake_2M_genome_000828	A0A094LW56_9BACL/391-600	100	210	0	0	391	600	1	210	1.5e-112	412.5	A0A094LW56_9BACL/391-600 A0A094LW56.1 PF01434.17;Peptidase_M41;
fake_2M_genome_000829	A0A094JJX6_9BACL/6-160	100	155	0	0	6	160	1	155	1.6e-80	304.3	A0A094JJX6_9BACL/6-160 A0A094JJX6.1 PF00156.26;Pribosyltran;
fake_2M_genome_000830	A0A094K463_9BACL/23-208	99.5	186	1	0	25	210	1	186	3e-102	377.9	A0A094K463_9BACL/23-208 A0A094K463.1 PF01171.19;ATP_bind_3;
fake_2M_genome_000831	A0A094JHR9_9BACL/610-797	98.9	188	2	0	610	797	1	188	1e-97	363.6	A0A094JHR9_9BACL/610-797 A0A094JHR9.1 PF07228.11;SpoIIE;
fake_2M_genome_000832	A0A094LW53_9BACL/41-108	100	68	0	0	41	108	1	68	2.1e-31	141	A0A094LW53_9BACL/41-108 A0A094LW53.1 PF04167.12;DUF402;
fake_2M_genome_000833	A0A094JJX3_9BACL/53-412	100	360	0	0	53	412	1	360	4e-212	742.7	A0A094JJX3_9BACL/53-412 A0A094JJX3.1 PF07075.10;DUF1343;
fake_2M_genome_000834	A0A094K461_9BACL/50-127	100	78	0	0	50	127	1	78	4.6e-34	149.4	A0A094K461_9BACL/50-127 A0A094K461.1 PF04977.14;DivIC;
fake_2M_genome_000835	A0A094JHR4_9BACL/11-88	98.7	78	1	0	11	88	1	78	6.2e-35	152.9	A0A094JHR4_9BACL/11-88 A0A094JHR4.1 PF09578.9;Spore_YabQ;
fake_2M_genome_000836	A0A094JN46_9BACL/10-75	100	66	0	0	10	75	1	66	6.7e-30	135.2	A0A094JN46_9BACL/10-75 A0A094JN46.1 PF07873.10;YabP;
fake_2M_genome_000837	A0A094LW48_9BACL/1-47	100	47	0	0	1	47	1	47	2.9e-17	93.2	A0A094LW48_9BACL/1-47 A0A094LW48.1 PF01479.24;S4;
fake_2M_genome_000838	A0A094JJX1_9BACL/3-209	100	207	0	0	3	209	1	207	1.7e-113	415.2	A0A094JJX1_9BACL/3-209 A0A094JJX1.1 PF00590.19;TP_methylase;
fake_2M_genome_000839	A0A094K456_9BACL/8-314	99	307	3	0	9	315	1	307	2.2e-162	577.8	A0A094K456_9BACL/8-314 A0A094K456.1 PF01943.16;Polysacc_synt;
fake_2M_genome_000840	A0A094JHR0_9BACL/54-179	96.8	126	4	0	54	179	1	126	3.5e-64	250	A0A094JHR0_9BACL/54-179 A0A094JHR0.1 PF15714.4;SpoVT_C;
fake_2M_genome_000841	A0A094JN43_9BACL/171-293	100	123	0	0	171	293	1	123	2.5e-55	221.5	A0A094JN43_9BACL/171-293 A0A094JN43.1 PF13616.5;Rotamase_3;
fake_2M_genome_000842	A0A0N0YD10_THEVU/625-789	92.7	165	12	0	625	789	1	165	1.2e-80	307.4	A0A0N0YD10_THEVU/625-789 A0A0N0YD10.1 PF00270.28;DEAD;
fake_2M_genome_000843	A0A094JJW8_9BACL/1-76	100	76	0	0	1	76	1	76	2.7e-37	159.5	A0A094JJW8_9BACL/1-76 A0A094JJW8.1 PF10955.7;DUF2757;
fake_2M_genome_000844	A0A094K451_9BACL/3-185	100	183	0	0	3	185	1	183	3.3e-105	386.3	A0A094K451_9BACL/3-185 A0A094K451.1 PF01195.18;Pept_tRNA_hydro;
fake_2M_genome_000845	A0A0S7ZZQ3_9BACT/86-184	52	98	44	3	81	177	3	98	5.6e-18	96.7	A0A0S7ZZQ3_9BACT/86-184 A0A0S7ZZQ3.1 PF14693.5;Ribosomal_TL5_C;
fake_2M_genome_000846	A0A094JHQ4_9BACL/8-124	100	117	0	0	8	124	1	117	8.3e-61	239.6	A0A094JHQ4_9BACL/8-124 A0A094JHQ4.1 PF13793.5;Pribosyltran_N;
fake_2M_genome_000847	A0A094JN37_9BACL/6-241	100	236	0	0	6	241	1	236	2.1e-129	468	A0A094JN37_9BACL/6-241 A0A094JN37.1 PF00483.22;NTP_transferase;
fake_2M_genome_000848	A0A094LW42_9BACL/1-82	100	82	0	0	1	82	1	82	8.4e-39	164.9	A0A094LW42_9BACL/1-82 A0A094LW42.1 PF04026.11;SpoVG;
fake_2M_genome_000849	A0A094JJW6_9BACL/6-123	99.2	118	1	0	7	124	1	118	9.8e-61	238	A0A094JJW6_9BACL/6-123 A0A094JJW6.1 PF01042.20;Ribonuc_L-PSP;
fake_2M_genome_000850	A0A094K447_9BACL/107-267	100	161	0	0	107	267	1	161	9.2e-80	302.4	A0A094K447_9BACL/107-267 A0A094K447.1 PF00156.26;Pribosyltran;
fake_2M_genome_000851	A0A0N0HGD9_THEVU/197-275	70.9	79	23	0	198	276	1	79	3.5e-24	117.9	A0A0N0HGD9_THEVU/197-275 A0A0N0HGD9.1 PF08544.12;GHMP_kinases_C;
fake_2M_genome_000852	A0A094JHP9_9BACL/8-54	100	47	0	0	8	54	1	47	1.5e-19	100.1	A0A094JHP9_9BACL/8-54 A0A094JHP9.1 PF00269.19;SASP;
fake_2M_genome_000853	A0A0N1K5D3_THEVU/4-75	93.1	72	5	0	4	75	1	72	6e-31	138.7	A0A0N1K5D3_THEVU/4-75 A0A0N1K5D3.1 PF06257.10;VEG;
fake_2M_genome_000854	A0A094LW39_9BACL/15-157	100	143	0	0	15	157	1	143	5.1e-75	285.8	A0A094LW39_9BACL/15-157 A0A094LW39.1 PF04308.11;RNaseH_like;
fake_2M_genome_000855	A0A094JJW2_9BACL/18-287	100	270	0	0	18	287	1	270	2.1e-143	513.8	A0A094JJW2_9BACL/18-287 A0A094JJW2.1 PF00398.19;RrnaAD;
fake_2M_genome_000856	A0A094K443_9BACL/90-176	100	87	0	0	90	176	1	87	5.7e-41	172.9	A0A094K443_9BACL/90-176 A0A094K443.1 PF13331.5;DUF4093;
fake_2M_genome_000857	A0A094JHP5_9BACL/3-254	100	252	0	0	3	254	1	252	4.3e-148	529.3	A0A094JHP5_9BACL/3-254 A0A094JHP5.1 PF01026.20;TatD_DNase;
fake_2M_genome_000858	A0A094JN28_9BACL/40-111	100	72	0	0	40	111	1	72	1.3e-34	151.8	A0A094JN28_9BACL/40-111 A0A094JN28.1 PF00717.22;Peptidase_S24;
fake_2M_genome_000859	F5L9X8_9BACI/8-367	78.1	360	79	0	8	367	1	360	1.6e-175	621.7	F5L9X8_9BACI/8-367 F5L9X8.1 PF09334.10;tRNA-synt_1g;
fake_2M_genome_000860	A0A094JJV7_9BACL/148-387	100	240	0	0	148	387	1	240	2.7e-132	478	A0A094JJV7_9BACL/148-387 A0A094JJV7.1 PF01935.16;DUF87;
fake_2M_genome_000861	A0A094K438_9BACL/61-286	100	226	0	0	61	286	1	226	2.3e-127	460.7	A0A094K438_9BACL/61-286 A0A094K438.1 PF09376.9;NurA;
fake_2M_genome_000862	E0I964_9BACL/9-53	97.8	45	1	0	9	53	1	45	1.1e-16	91.3	E0I964_9BACL/9-53 E0I964.1 PF04014.17;MazE_antitoxin;
fake_2M_genome_000863	A0A0N0HGI6_THEVU/1-300	71.3	300	86	0	19	318	1	300	4.3e-120	437.2	A0A0N0HGI6_THEVU/1-300 A0A0N0HGI6.1 PF02378.17;PTS_EIIC;
fake_2M_genome_000864	A0A094JN24_9BACL/15-213	100	199	0	0	15	213	1	199	1.2e-109	401.7	A0A094JN24_9BACL/15-213 A0A094JN24.1 PF00590.19;TP_methylase;
fake_2M_genome_000865	A0A094JHS4_9BACL/4-83	100	79	0	0	5	83	2	80	7.4e-37	158.3	A0A094JHS4_9BACL/4-83 A0A094JHS4.1 PF01541.23;GIY-YIG;
fake_2M_genome_000866	A0A094LW32_9BACL/1-112	100	112	0	0	1	112	1	112	2.4e-56	223.4	A0A094LW32_9BACL/1-112 A0A094LW32.1 PF06156.12;YabB;
fake_2M_genome_000867	A0A094JJV4_9BACL/61-146	100	86	0	0	61	146	1	86	9.3e-40	169.5	A0A094JJV4_9BACL/61-146 A0A094JJV4.1 PF04468.11;PSP1;
fake_2M_genome_000868	A0A094K435_9BACL/8-198	99	191	2	0	8	198	1	191	6.2e-105	385.6	A0A094K435_9BACL/8-198 A0A094K435.1 PF02223.16;Thymidylate_kin;
fake_2M_genome_000869	A0A094JHN7_9BACL/6-310	100	305	0	0	6	310	1	305	1.4e-152	545	A0A094JHN7_9BACL/6-310 A0A094JHN7.1 PF01276.19;OKR_DC_1;
fake_2M_genome_000870	A0A0H4KAU4_9BACI/10-54	48.9	45	23	0	7	51	1	45	9.3e-07	57.8	A0A0H4KAU4_9BACI/10-54 A0A0H4KAU4.1 PF10764.8;Gin;
fake_2M_genome_000872	A0A094LXK4_9BACL/5-80	100	76	0	0	45	120	1	76	1.3e-33	147.9	A0A094LXK4_9BACL/5-80 A0A094LXK4.1 PF07441.10;BofA;
fake_2M_genome_000873	A0A094JLE0_9BACL/80-171	100	92	0	0	80	171	1	92	5.3e-45	186.4	A0A094JLE0_9BACL/80-171 A0A094JLE0.1 PF13662.5;Toprim_4;
fake_2M_genome_000874	A0A094K5N1_9BACL/8-98	100	68	0	0	31	98	24	91	5.6e-30	135.6	A0A094K5N1_9BACL/8-98 A0A094K5N1.1 PF02575.15;YbaB_DNA_bd;
fake_2M_genome_000875	A0A094JJA1_9BACL/20-179	100	160	0	0	23	182	1	160	2.7e-86	325.1	A0A094JJA1_9BACL/20-179 A0A094JJA1.1 PF13177.5;DNA_pol3_delta2;
fake_2M_genome_000876	A0A094JPN4_9BACL/14-127	100	114	0	0	29	142	1	114	2e-56	225.3	A0A094JPN4_9BACL/14-127 A0A094JPN4.1 PF00989.24;PAS;
fake_2M_genome_000877	A0A094LXJ9_9BACL/14-349	99.4	336	2	0	14	349	1	336	1.1e-182	645.2	A0A094LXJ9_9BACL/14-349 A0A094LXJ9.1 PF02378.17;PTS_EIIC;
fake_2M_genome_000878	A0A094JLD7_9BACL/28-383	99.7	356	1	0	28	383	1	356	7.8e-219	765.4	A0A094JLD7_9BACL/28-383 A0A094JLD7.1 PF00128.23;Alpha-amylase;
fake_2M_genome_000879	A0A094K5M6_9BACL/94-233	100	140	0	0	89	228	1	140	5.3e-76	289.7	A0A094K5M6_9BACL/94-233 A0A094K5M6.1 PF07702.12;UTRA;
fake_2M_genome_000880	A0A094JJ96_9BACL/68-182	100	115	0	0	68	182	1	115	3.5e-60	237.3	A0A094JJ96_9BACL/68-182 A0A094JJ96.1 PF03099.18;BPL_LplA_LipB;
fake_2M_genome_000882	A0A0D1VCA0_ANEMI/1-122	78.7	122	26	0	1	122	1	122	3e-52	210.3	A0A0D1VCA0_ANEMI/1-122 A0A0D1VCA0.1 PF03358.14;FMN_red;
fake_2M_genome_000883	A0A0N0YC10_THEVU/19-411	75.9	394	94	1	23	416	1	393	2e-168	597.8	A0A0N0YC10_THEVU/19-411 A0A0N0YC10.1 PF07690.15;MFS_1;
fake_2M_genome_000884	A0A094K5M2_9BACL/74-166	100	93	0	0	74	166	1	93	9.9e-42	175.6	A0A094K5M2_9BACL/74-166 A0A094K5M2.1 PF16576.4;HlyD_D23;
fake_2M_genome_000885	A0A094JJ92_9BACL/94-211	100	118	0	0	94	211	1	118	2.7e-58	230.7	A0A094JJ92_9BACL/94-211 A0A094JJ92.1 PF13437.5;HlyD_3;
fake_2M_genome_000886	A0A094JPM3_9BACL/34-100	100	67	0	0	34	100	1	67	1e-27	128.6	A0A094JPM3_9BACL/34-100 A0A094JPM3.1 PF13463.5;HTH_27;
fake_2M_genome_000887	A0A094LXJ3_9BACL/15-219	97.1	205	6	0	59	263	1	205	7.8e-102	375.9	A0A094LXJ3_9BACL/15-219 A0A094LXJ3.1 PF02588.14;YitT_membrane;
fake_2M_genome_000888	A0A094JLD3_9BACL/2-102	100	60	0	0	24	83	5	64	1.4e-27	127.9	A0A094JLD3_9BACL/2-102 A0A094JLD3.1 PF12793.6;SgrR_N;
fake_2M_genome_000889	C2X561_BACCE/44-255	62.7	212	79	0	65	276	1	212	1.7e-78	298.5	C2X561_BACCE/44-255 C2X561.1 PF03009.16;GDPD;
fake_2M_genome_000890	A0A094K4B7_9BACL/65-142	100	78	0	0	65	142	1	78	8.3e-32	142.1	A0A094K4B7_9BACL/65-142 A0A094K4B7.1 PF02028.16;BCCT;
fake_2M_genome_000891	A0A094JK30_9BACL/13-339	99.7	327	1	0	13	339	1	327	6.9e-194	681.8	A0A094JK30_9BACL/13-339 A0A094JK30.1 PF01263.19;Aldose_epim;
fake_2M_genome_000892	A0A094LW94_9BACL/24-444	100	421	0	0	24	444	1	421	3.2e-231	806.2	A0A094LW94_9BACL/24-444 A0A094LW94.1 PF13347.5;MFS_2;
fake_2M_genome_000893	A0A094JNC0_9BACL/8-300	99.7	293	1	0	8	300	1	293	7.7e-168	596.3	A0A094JNC0_9BACL/8-300 A0A094JNC0.1 PF00933.20;Glyco_hydro_3;
fake_2M_genome_000894	A0A094JHX7_9BACL/3-247	99.6	245	1	0	3	247	1	245	2.7e-138	497.7	A0A094JHX7_9BACL/3-247 A0A094JHX7.1 PF00370.20;FGGY_N;
